Python,AI_ML,DSA,Attendance,Study_Hours,Performance
88,91,84,92,8,Good
65,70,68,75,4,Average
95,97,92,98,10,Excellent
55,60,58,68,3,Poor
82,85,80,88,7,Good
76,74,72,82,6,Average
91,89,94,95,9,Excellent
60,64,62,70,3,Poor
85,83,87,90,8,Good
72,75,70,80,5,Average
97,94,96,99,11,Excellent
58,62,59,67,3,Poor
89,87,85,93,8,Good
68,71,69,76,4,Average
93,96,91,97,10,Excellent
52,57,55,65,2,Poor
84,86,82,89,7,Good
74,77,73,81,5,Average
96,92,95,98,10,Excellent
61,59,63,72,3,Poor
87,90,86,91,8,Good
70,73,71,79,5,Average
94,95,93,96,9,Excellent
56,61,58,69,3,Poor
81,84,80,87,7,Good
69,72,68,77,4,Average
98,97,96,99,11,Excellent
54,58,56,66,2,Poor
86,88,84,92,8,Good
73,76,74,83,6,Average
92,94,90,96,10,Excellent
59,63,60,71,3,Poor
83,85,81,88,7,Good
71,74,72,80,5,Average
96,95,94,98,10,Excellent
57,60,55,68,3,Poor
88,86,87,91,8,Good
75,78,73,84,6,Average
91,93,92,95,9,Excellent
53,59,57,64,2,Poor
